City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dikson,73.5069,80.5464,-32.099999999999966,99,39,1.32,RU,1680973136
1,mossendjo,-2.9506,12.7261,23.900000000000034,90,100,0.87,CG,1680973136
2,port augusta,-32.5,137.7667,15.520000000000039,69,12,4.17,AU,1680973136
3,arraial do cabo,-22.9661,-42.0278,24.980000000000018,100,100,2.57,BR,1680973136
4,deputatskiy,69.3,139.9,-28.389999999999986,100,100,1.04,RU,1680973136
5,pevek,69.7008,170.3133,-31.42999999999998,100,97,2.12,RU,1680973137
6,atuona,-9.8,-139.0333,27.210000000000036,68,25,7.59,PF,1680973137
7,ushuaia,-54.8,-68.3,9.810000000000002,57,75,7.72,AR,1680973137
8,terryville,40.909,-73.0651,9.990000000000009,39,100,6.17,US,1680973137
9,tiksi,71.6872,128.8694,-22.119999999999976,100,76,2.46,RU,1680973137
10,east london,-33.0153,27.9116,19.52000000000004,94,100,4.63,ZA,1680972970
11,qaanaaq,77.484,-69.3632,-22.569999999999965,76,0,2.45,GL,1680973138
12,yerbogachen,61.2767,108.0108,-17.519999999999982,93,73,4.4,RU,1680973138
13,castro,-24.7911,-50.0119,18.620000000000005,88,100,1.79,BR,1680973138
14,nome,64.5011,-165.4064,-33.95999999999998,83,0,0.0,US,1680973139
15,new norfolk,-42.7826,147.0587,7.720000000000027,75,77,1.34,AU,1680973139
16,rikitea,-23.1203,-134.9692,24.57000000000005,64,74,8.18,PF,1680973049
17,saint-philippe,-21.3585,55.7679,26.77000000000004,79,100,3.49,RE,1680973139
18,grindavik,63.8424,-22.4338,9.260000000000048,81,40,13.38,IS,1680973139
19,clyde river,70.4692,-68.5914,-18.869999999999976,78,100,15.43,CA,1680973139
20,hermanus,-34.4187,19.2345,14.890000000000043,65,100,2.4,ZA,1680972854
21,cherskiy,68.75,161.3,-29.069999999999965,100,83,1.23,RU,1680973140
22,port alfred,-33.5906,26.891,17.879999999999995,96,94,0.89,ZA,1680973140
23,chuy,-33.6971,-53.4616,23.77000000000004,54,8,3.61,UY,1680973140
24,dali,25.7,100.1833,13.600000000000023,46,0,2.58,CN,1680973140
25,nioro,13.35,-15.75,38.48000000000002,11,62,2.91,GM,1680973140
26,busselton,-33.65,115.3333,15.610000000000014,76,84,3.11,AU,1680972915
27,hilo,19.7297,-155.09,20.340000000000032,89,40,4.12,US,1680973141
28,beringovskiy,63.05,179.3167,-19.71999999999997,98,78,1.99,RU,1680973141
29,butaritari,3.0707,172.7902,27.100000000000023,83,43,7.12,KI,1680973141
30,ilulissat,69.2167,-51.1,-9.779999999999973,91,98,3.5,GL,1680973141
31,burlatskoye,45.0564,43.635,12.180000000000007,70,100,0.97,RU,1680973142
32,macklin,52.3334,-109.9348,2.1899999999999977,100,78,3.2,CA,1680973142
33,kapaa,22.0752,-159.319,23.180000000000007,86,75,7.72,US,1680973143
34,tasiilaq,65.6145,-37.6368,0.4700000000000273,97,100,12.59,GL,1680973143
35,blora,-6.9698,111.4186,23.560000000000002,93,100,2.71,ID,1680973144
36,norman wells,65.282,-126.8329,-8.979999999999961,73,75,2.06,CA,1680973145
37,peniche,39.3558,-9.3811,22.27000000000004,72,71,3.98,PT,1680973145
38,goderich,43.7501,-81.7165,4.9500000000000455,60,85,4.63,CA,1680973034
39,port blair,11.6667,92.75,28.02000000000004,83,40,0.0,IN,1680973146
40,khatanga,71.9667,102.5,-22.289999999999964,96,99,3.74,RU,1680973146
41,punta arenas,-53.15,-70.9167,11.060000000000002,58,20,16.98,CL,1680973147
42,boulder city,35.9786,-114.8325,19.77000000000004,26,0,0.0,US,1680973147
